Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x72,x73,,x74,x75,x79,x81,x71
All Timesteps RMSE,0.0317057,0,0,0,0,0.022424,0,0,0,0,0,0,0.0190133,0.0325026,0.0202662,0.0182291,0,0,0.0232632,0,0.0330572,0.017351,0.0443764,0.021955,0.00895042,0.0148264,0.0231464,0.0317986,0.0127456,0.017497,0.0150413,0.0730999,0.0177309,0.0417301,0.0212838,0.0294519,0.0236176,0.0281782,0.0160418,0.0224104,0.038987,0.0233746,0.0201578,0.0379772,0,0,0.064703,0,0.0282891,0.0418721,0.0350301,0.0252618,0.0172852,0.0195797,0.0220674,0.0517336,0.0101287,0.0171298,0.0163394,0.0127527,0.0139002,0.0275219,0.0143095,0.0156038,0.0240963,0.0434559,0.0226029,0.0367918,0.0226942,0.0278582,0,0,0,0,0,0,0,0
0,0.0277265,0,0,0,0,0.0376897,0,0,0,0,0,0,0.0204635,0.0203281,0.0133841,0.01991,0,0,0.0262941,0,0.0336054,0.0169174,0.0396999,0.0127557,0.0124118,0.00671018,0.0419038,0.0577493,0.00536122,0.00597331,0.0063007,0.0106641,0.0130567,0.0100703,0.0277573,0.029232,0.0346329,0.00929155,0.00614837,0.0127173,0.0316868,0.01405,0.0225825,0.026902,0,0,0.0380792,0,0.0329873,0.0221445,0.0367421,0.0180662,0.0190279,0.0186606,0.0399273,0.0393505,0.0100172,0.0166979,0.0104222,0.0127865,0.0124287,0.0332146,0.00830204,0.0113888,0.00902297,0.0299257,0.0350316,0.00322506,0.0328411,0.0171222,0,0,0,0,0,0,0,0
1,0.0253696,0,0,0,0,0.0340336,0,0,0,0,0,0,0.0192197,0.0204679,0.0131856,0.019161,0,0,0.028363,0,0.0330471,0.0183828,0.0399257,0.0127575,0.0111932,0.0074993,0.0384711,0.0564708,0.00508478,0.00579816,0.00674861,0.0107517,0.0126734,0.0101063,0.027713,0.0275481,0.035422,0.0103523,0.00689913,0.0129582,0.0316896,0.0140354,0.0217177,0.0240594,0,0,0.0352781,0,0.0322481,0.0188354,0.0366939,0.0179138,0.0186155,0.0187929,0.0363259,0.0363641,0.00997974,0.01676,0.0105639,0.0127838,0.0125016,0.0334378,0.00824439,0.0114825,0.00912652,0.025524,0.034794,0.00389916,0.0292222,0.0153781,0,0,0,0,0,0,0,0
2,0.0253893,0,0,0,0,0.0339771,0,0,0,0,0,0,0.0190748,0.0204564,0.0131833,0.0190619,0,0,0.0283741,0,0.033036,0.0184334,0.0399614,0.0127525,0.0112004,0.00748735,0.0384617,0.0564628,0.00503874,0.00599038,0.0066908,0.0107743,0.0126927,0.010112,0.027752,0.0274974,0.0354419,0.0103117,0.00690287,0.0129411,0.0316891,0.0140324,0.021739,0.0241106,0,0,0.0353057,0,0.0322424,0.0188082,0.0366998,0.0179352,0.0186574,0.0187472,0.0363335,0.0363567,0.0100286,0.0167639,0.0104967,0.0127537,0.0125187,0.0334271,0.00824141,0.0114943,0.00910144,0.0255669,0.0347546,0.00391866,0.0291574,0.015439,0,0,0,0,0,0,0,0
3,0.0253932,0,0,0,0,0.0339608,0,0,0,0,0,0,0.0188928,0.0205159,0.0131245,0.0189718,0,0,0.0283777,0,0.0329732,0.018471,0.0399832,0.0127025,0.0112318,0.00743377,0.0385096,0.05646,0.00502557,0.00592465,0.0066491,0.0107689,0.0126552,0.0100986,0.0277868,0.0274201,0.0354249,0.0101548,0.00693193,0.0129396,0.0316958,0.0140546,0.0217511,0.0241365,0,0,0.0352758,0,0.0322645,0.0187955,0.0367122,0.0179322,0.0186781,0.0186875,0.0363724,0.0363748,0.0099632,0.0167404,0.0104523,0.0127208,0.0125316,0.0332713,0.00827829,0.0115092,0.00912024,0.0255724,0.034763,0.00392695,0.0291513,0.0154668,0,0,0,0,0,0,0,0
4,0.0254115,0,0,0,0,0.0339967,0,0,0,0,0,0,0.0187073,0.0205637,0.0130054,0.0189733,0,0,0.028378,0,0.032966,0.0184849,0.0399974,0.0125722,0.0113227,0.00731356,0.0385911,0.0563515,0.00507034,0.00562716,0.00659932,0.0107057,0.0125283,0.0100438,0.0278362,0.0271592,0.0354146,0.0101082,0.00697257,0.012951,0.0317046,0.0140958,0.0217935,0.0241905,0,0,0.0352604,0,0.0322769,0.0188149,0.0366942,0.0179764,0.0186902,0.0186979,0.0364348,0.0363862,0.00965463,0.0167772,0.0104874,0.0127269,0.0125315,0.0332686,0.00832973,0.0115254,0.00913857,0.0256288,0.034785,0.00392031,0.0291731,0.0155163,0,0,0,0,0,0,0,0
5,0.0254301,0,0,0,0,0.0340276,0,0,0,0,0,0,0.0183334,0.0205789,0.0128129,0.0190055,0,0,0.0283234,0,0.0329696,0.0184593,0.0400271,0.0124391,0.0114653,0.00721721,0.0386923,0.0562575,0.00507001,0.00535168,0.00657031,0.0105625,0.0123373,0.0099563,0.027912,0.026744,0.0353813,0.0101197,0.00697854,0.012954,0.0317152,0.0141143,0.0219319,0.0242411,0,0,0.035286,0,0.0322758,0.0188469,0.0366573,0.0179632,0.0187266,0.0187757,0.0365425,0.0363881,0.00965004,0.0168697,0.010555,0.0128076,0.0125261,0.0334248,0.0083503,0.0115346,0.00914194,0.0256388,0.0347553,0.00388961,0.0292304,0.0155755,0,0,0,0,0,0,0,0
6,0.0254444,0,0,0,0,0.0340102,0,0,0,0,0,0,0.0177883,0.0205336,0.0125797,0.0189153,0,0,0.0284016,0,0.0329724,0.0184888,0.0400089,0.0123067,0.0113987,0.00713803,0.03866,0.0563667,0.00499233,0.00510667,0.0065286,0.010471,0.0121534,0.00993559,0.0280966,0.0261759,0.0354757,0.010128,0.00698726,0.012973,0.0317168,0.0141272,0.0219315,0.0241922,0,0,0.0353186,0,0.0322852,0.0188514,0.0366042,0.0179801,0.0186828,0.0188131,0.0364487,0.0364105,0.00985588,0.0168912,0.0106056,0.0128422,0.0125515,0.0335257,0.00838795,0.0115569,0.00915965,0.0256043,0.0346743,0.00386641,0.0292059,0.0155432,0,0,0,0,0,0,0,0
7,0.0254244,0,0,0,0,0.0339924,0,0,0,0,0,0,0.0169292,0.0204074,0.0122092,0.0187804,0,0,0.028495,0,0.0329745,0.018524,0.0400115,0.0121179,0.0113146,0.00708938,0.0385554,0.0564565,0.00488956,0.00479784,0.00651171,0.0104336,0.0118774,0.00993112,0.0283557,0.025156,0.0355867,0.0101851,0.00698153,0.0129705,0.0317091,0.014109,0.0219027,0.0241125,0,0,0.0352668,0,0.0322958,0.0188219,0.0365267,0.0179223,0.0186364,0.0188054,0.0362728,0.0363641,0.00965741,0.0168614,0.0105836,0.0128141,0.0125698,0.0335623,0.00838784,0.0115912,0.00913063,0.0255925,0.034656,0.00385742,0.0291611,0.0154868,0,0,0,0,0,0,0,0
8,0.0254075,0,0,0,0,0.0340184,0,0,0,0,0,0,0.0156329,0.0202238,0.0116991,0.0187226,0,0,0.0285474,0,0.0330083,0.0185388,0.0400684,0.0118273,0.0112474,0.00712671,0.0384768,0.0565878,0.00480684,0.00405984,0.00657194,0.0103738,0.011482,0.00990421,0.0286624,0.0236963,0.0357131,0.0103417,0.00696898,0.0129775,0.0317267,0.0140855,0.0219286,0.0240643,0,0,0.0352235,0,0.0323167,0.0187818,0.0364567,0.0178852,0.0185963,0.0188101,0.0361482,0.0363056,0.00952074,0.0168679,0.0105826,0.0127948,0.0125834,0.0335637,0.00838886,0.0116081,0.00911724,0.0255899,0.0347419,0.00385749,0.0291429,0.0154611,0,0,0,0,0,0,0,0
9,0.0254594,0,0,0,0,0.0340761,0,0,0,0,0,0,0.0137821,0.0202681,0.0110111,0.018729,0,0,0.0286305,0,0.0330965,0.0185914,0.0401778,0.0114267,0.0111823,0.0073575,0.0383977,0.056704,0.00474789,0.00316737,0.00680687,0.010298,0.0109118,0.00989163,0.0289817,0.0216575,0.0358455,0.010365,0.00699013,0.012941,0.0317344,0.0140193,0.0220283,0.0240674,0,0,0.0352063,0,0.0323196,0.0187538,0.0363789,0.0178155,0.0185743,0.0188281,0.0360255,0.0362721,0.00961702,0.0168741,0.010608,0.0128033,0.0125848,0.0335174,0.00835069,0.0115734,0.00908666,0.0255858,0.0347562,0.00387006,0.0291939,0.0155004,0,0,0,0,0,0,0,0
10,0.0255394,0,0,0,0,0.0341519,0,0,0,0,0,0,0.011686,0.0202225,0.0101693,0.0189163,0,0,0.0287531,0,0.033111,0.0186774,0.0403541,0.0109166,0.0111089,0.00770225,0.038295,0.0568363,0.00481781,0.0025594,0.00721975,0.0101699,0.0101945,0.00986892,0.0292597,0.0192539,0.0359687,0.0103646,0.00700364,0.0129533,0.0317106,0.014016,0.0222268,0.024061,0,0,0.0351906,0,0.0323485,0.0187079,0.0362845,0.0177949,0.0185571,0.0188841,0.0359623,0.0362208,0.00995865,0.0169169,0.0106869,0.0128849,0.0125395,0.0333831,0.0083151,0.0115247,0.0091213,0.0255495,0.0347174,0.00388987,0.0293027,0.0155818,0,0,0,0,0,0,0,0
11,0.0256082,0,0,0,0,0.034233,0,0,0,0,0,0,0.00983921,0.0200375,0.00934558,0.0193164,0,0,0.0288684,0,0.0330673,0.0187302,0.0405902,0.010334,0.0110363,0.00794846,0.0382165,0.056994,0.00506576,0.00204224,0.00769939,0.00992523,0.00946863,0.00974429,0.029345,0.0171737,0.0360496,0.0103978,0.0070244,0.0129601,0.0316719,0.0139347,0.0224933,0.0240312,0,0,0.0351324,0,0.0323699,0.0186434,0.036218,0.0176939,0.0185644,0.0189684,0.0360328,0.0361824,0.0101626,0.0169888,0.0107977,0.0130095,0.0124441,0.033167,0.00823486,0.0114045,0.00913319,0.0254787,0.0346719,0.0038973,0.0294606,0.0156583,0,0,0,0,0,0,0,0
12,0.025709,0,0,0,0,0.0343693,0,0,0,0,0,0,0.00860917,0.0200316,0.00865652,0.0199548,0,0,0.0289644,0,0.0330599,0.0187446,0.0408751,0.00982416,0.0110043,0.00810464,0.0382026,0.0571703,0.00552962,0.00184612,0.00820163,0.00951694,0.00878608,0.009468,0.0291287,0.0158525,0.0361575,0.010351,0.00705221,0.0129536,0.031639,0.0137887,0.0228641,0.0240216,0,0,0.0351027,0,0.0323775,0.0185975,0.0362032,0.0175767,0.0186028,0.0191761,0.0362475,0.0361648,0.0103048,0.0170868,0.0109365,0.0132144,0.012321,0.0331224,0.00807369,0.0112493,0.00913048,0.0254595,0.0346502,0.00388623,0.0296653,0.0157582,0,0,0,0,0,0,0,0
13,0.0256576,0,0,0,0,0.0344508,0,0,0,0,0,0,0.0311395,0.0203568,0.0154635,0.0204674,0,0,0.0285596,0,0.0329892,0.0185308,0.0412594,0.00793988,0.0106304,0.0112696,0.0389935,0.0569754,0.0129809,0.0175156,0.0135297,0.00881444,0.0161375,0.00466861,0.0237702,0.0409117,0.0359135,0.0102127,0.0069735,0.0129638,0.031768,0.0138099,0.0227509,0.024121,0,0,0.0353085,0,0.0322895,0.018911,0.0366567,0.0177248,0.0185219,0.0193269,0.0371954,0.0365057,0.0103237,0.0170189,0.0108897,0.0132126,0.0123499,0.0330263,0.00794892,0.011271,0.00930491,0.0258446,0.0347568,0.00385885,0.0297176,0.0156213,0,0,0,0,0,0,0,0
14,0.0257484,0,0,0,0,0.0344896,0,0,0,0,0,0,0.031079,0.0204322,0.0154073,0.0204172,0,0,0.0287153,0,0.033018,0.0186179,0.0412778,0.00828102,0.0106197,0.0109255,0.0388689,0.0570614,0.0128018,0.0172193,0.013242,0.00872027,0.0160868,0.00478965,0.0237768,0.0408096,0.0360992,0.0101464,0.00703593,0.0129639,0.0317847,0.0137979,0.0227422,0.0241538,0,0,0.0353074,0,0.0322826,0.0189139,0.036653,0.0176615,0.0185107,0.0192113,0.0370935,0.0365324,0.0103199,0.016994,0.0108556,0.0131725,0.0123334,0.032868,0.00795462,0.011261,0.00929256,0.0258684,0.0347482,0.00385459,0.0297231,0.0156837,0,0,0,0,0,0,0,0
15,0.0258524,0,0,0,0,0.0345219,0,0,0,0,0,0,0.030764,0.0204269,0.0152355,0.0204682,0,0,0.0288066,0,0.0330417,0.0186402,0.0412676,0.00846339,0.0106639,0.0104001,0.038845,0.0571516,0.0125728,0.0167331,0.0128599,0.00853205,0.0158801,0.00489305,0.0238123,0.0404679,0.0360686,0.0101527,0.00706236,0.0129584,0.0318006,0.0138254,0.0227691,0.0242138,0,0,0.0353007,0,0.0322683,0.0189303,0.0366408,0.017633,0.0185199,0.0191683,0.0370741,0.0365852,0.0102073,0.016989,0.0108792,0.0131483,0.012318,0.032791,0.00797215,0.0112387,0.00927076,0.0258971,0.0346938,0.00389073,0.0297468,0.0157732,0,0,0,0,0,0,0,0
16,0.0259713,0,0,0,0,0.0345598,0,0,0,0,0,0,0.0303763,0.0204378,0.015103,0.0206705,0,0,0.0288518,0,0.0330712,0.0186432,0.0412823,0.00840209,0.0107848,0.00991537,0.0388841,0.0572459,0.0123566,0.0162582,0.0124982,0.00830597,0.0156268,0.00502752,0.0238419,0.0401207,0.0360141,0.0101434,0.00707764,0.0129307,0.0318227,0.0138094,0.0228719,0.0242834,0,0,0.0353303,0,0.0322427,0.0189666,0.0366347,0.0176261,0.0185264,0.0191974,0.0371486,0.0366813,0.00996226,0.0170002,0.0109116,0.0131535,0.0122824,0.0327746,0.00794085,0.0111917,0.00923249,0.0259926,0.0346155,0.00391175,0.0297944,0.0158758,0,0,0,0,0,0,0,0
17,0.0260562,0,0,0,0,0.0345623,0,0,0,0,0,0,0.0300596,0.0204183,0.0150426,0.0208468,0,0,0.0290131,0,0.0331075,0.0187036,0.0412774,0.00835387,0.0107073,0.00953585,0.0387928,0.0574856,0.012176,0.0161579,0.0121926,0.00816198,0.0155015,0.00516796,0.0239128,0.0398582,0.0362656,0.0101092,0.00712328,0.0129372,0.0318342,0.0138244,0.0228155,0.0242452,0,0,0.0353327,0,0.0322105,0.0189789,0.0366464,0.0176962,0.0184661,0.0192095,0.0370357,0.0367973,0.00983183,0.0170222,0.0109172,0.0131491,0.0122914,0.0327832,0.00794725,0.0111957,0.00925486,0.0260615,0.034524,0.00391385,0.0297673,0.0158742,0,0,0,0,0,0,0,0
18,0.0261562,0,0,0,0,0.0346007,0,0,0,0,0,0,0.0296404,0.0203294,0.0149387,0.0206683,0,0,0.0291801,0,0.0331073,0.0188035,0.0412996,0.00828152,0.0105992,0.00912223,0.0386855,0.0576964,0.0119587,0.0163695,0.0118752,0.00804495,0.0153606,0.00528026,0.0240011,0.03945,0.036514,0.0100946,0.00716342,0.0129133,0.0318536,0.0138113,0.0227528,0.0242216,0,0,0.0352989,0,0.0321866,0.0189954,0.0366444,0.0176639,0.018397,0.0191759,0.0369011,0.0369263,0.00977117,0.01703,0.0108729,0.0131273,0.0122965,0.0327826,0.0079363,0.0112079,0.0092542,0.026132,0.0344511,0.00392512,0.029746,0.0158764,0,0,0,0,0,0,0,0
19,0.026241,0,0,0,0,0.0346141,0,0,0,0,0,0,0.0293398,0.0201732,0.0147794,0.0206453,0,0,0.0293073,0,0.0331224,0.0188448,0.041284,0.0081996,0.0105329,0.00860192,0.0385482,0.0578851,0.0117281,0.0160885,0.0115184,0.0079295,0.0151354,0.00539557,0.0240974,0.0388306,0.0366704,0.01014,0.00718089,0.0129028,0.0318755,0.0138223,0.022709,0.0241628,0,0,0.0352046,0,0.0321712,0.0190038,0.0366444,0.0176542,0.0183288,0.0191391,0.0367795,0.0370827,0.00975644,0.0170303,0.0108401,0.013126,0.0123008,0.0327921,0.00795642,0.0112436,0.00925914,0.0261749,0.0343831,0.00392049,0.0297318,0.0158617,0,0,0,0,0,0,0,0
20,0.0263756,0,0,0,0,0.0346306,0,0,0,0,0,0,0.0289165,0.0201492,0.0145855,0.0208199,0,0,0.0294113,0,0.0332339,0.0188216,0.0412695,0.00815069,0.0105091,0.0080884,0.0384199,0.0581136,0.0115155,0.0155134,0.0111755,0.00776781,0.0148345,0.00549813,0.0241684,0.0382266,0.0367701,0.0102233,0.00717437,0.0129654,0.0319101,0.0138761,0.0226829,0.0241411,0,0,0.0351486,0,0.0321433,0.019046,0.0366559,0.0177296,0.0183262,0.0191234,0.0366605,0.0372158,0.00981616,0.0170364,0.0108619,0.013147,0.0122776,0.0329073,0.00795935,0.0112262,0.00934725,0.0262412,0.0343461,0.00389983,0.0297525,0.0159054,0,0,0,0,0,0,0,0
21,0.0264941,0,0,0,0,0.0346302,0,0,0,0,0,0,0.0283904,0.0201386,0.014373,0.0207163,0,0,0.0295052,0,0.0332959,0.0188151,0.0412592,0.00809977,0.0104702,0.00757346,0.0382935,0.0583378,0.0113053,0.0151032,0.0108467,0.00755913,0.0145193,0.00558486,0.0242266,0.037758,0.0366913,0.0102309,0.007195,0.0131179,0.0318827,0.0139316,0.0227272,0.0240844,0,0,0.0350668,0,0.0321067,0.0190497,0.0366558,0.0177994,0.0183283,0.0191266,0.0364999,0.0373778,0.00988799,0.0170386,0.0108637,0.0131798,0.012223,0.0331758,0.00788475,0.0111603,0.00949128,0.026279,0.0342924,0.00386764,0.0297087,0.0159519,0,0,0,0,0,0,0,0
22,0.0266443,0,0,0,0,0.0346496,0,0,0,0,0,0,0.0277661,0.0202001,0.0142054,0.0206201,0,0,0.0296064,0,0.0333457,0.0188426,0.041279,0.00804548,0.0104334,0.00704101,0.0381613,0.0585852,0.0110728,0.0145502,0.0104965,0.00734843,0.0142192,0.00570523,0.0243154,0.0372852,0.0365666,0.0102038,0.00722929,0.0131439,0.0318813,0.013919,0.0227641,0.0240972,0,0,0.0350183,0,0.0320822,0.0190635,0.0366602,0.0178013,0.018296,0.0191514,0.0363546,0.0375826,0.00988854,0.0170415,0.0108632,0.0132144,0.0122085,0.0331762,0.00784092,0.0111309,0.00949136,0.0263998,0.0342315,0.00386982,0.029669,0.0160563,0,0,0,0,0,0,0,0
23,0.0268188,0,0,0,0,0.0346571,0,0,0,0,0,0,0.0271065,0.0202225,0.0140275,0.0206105,0,0,0.0296648,0,0.033373,0.0188668,0.0412912,0.00801001,0.0104296,0.0065031,0.038027,0.058776,0.010797,0.0138621,0.0101194,0.00718261,0.0138933,0.00586001,0.0244356,0.0366091,0.0368158,0.0101926,0.00724946,0.0130334,0.0319156,0.0138595,0.0227202,0.0241629,0,0,0.0350094,0,0.0320935,0.0191011,0.0366731,0.0177357,0.0182723,0.0191585,0.0362598,0.0378098,0.00986735,0.0170558,0.0108607,0.0132066,0.0122295,0.0329409,0.00789521,0.0111134,0.00939628,0.0265404,0.0341808,0.00386504,0.0296194,0.0161925,0,0,0,0,0,0,0,0
24,0.0270289,0,0,0,0,0.0346493,0,0,0,0,0,0,0.0263212,0.020191,0.0137982,0.0206896,0,0,0.0297276,0,0.033389,0.0189093,0.0412862,0.00801194,0.0104686,0.00594722,0.0379257,0.0589199,0.0105366,0.0133841,0.00975263,0.00701733,0.0135264,0.00598721,0.0245557,0.0357921,0.0369803,0.0101934,0.00723076,0.0130158,0.0319631,0.0138223,0.0226659,0.0242242,0,0,0.0350037,0,0.032115,0.0191425,0.0366731,0.0177166,0.0183026,0.019157,0.0362058,0.0380881,0.00987376,0.0170627,0.0108672,0.0131966,0.0122163,0.0329122,0.00789605,0.0110993,0.00938936,0.0266539,0.0341007,0.00386289,0.0295911,0.0163382,0,0,0,0,0,0,0,0
25,0.0273043,0,0,0,0,0.0345745,0,0,0,0,0,0,0.0256207,0.0202229,0.0135408,0.0207844,0,0,0.0298079,0,0.0334073,0.0189242,0.0413136,0.00796273,0.010507,0.00543157,0.0377821,0.0591413,0.0102909,0.0129085,0.00944327,0.00687606,0.0131614,0.0060675,0.0246387,0.0349613,0.0371084,0.0101419,0.00718621,0.0130791,0.0320099,0.0138061,0.0226957,0.0242731,0,0,0.0349641,0,0.0320836,0.0191704,0.0366436,0.0176914,0.0183134,0.0191576,0.0360953,0.0384974,0.00995313,0.0170623,0.0108685,0.0132224,0.0121804,0.0330182,0.00786576,0.0110992,0.00943762,0.026791,0.0339801,0.00383449,0.0295161,0.0165446,0,0,0,0,0,0,0,0
26,0.0276429,0,0,0,0,0.0344832,0,0,0,0,0,0,0.024785,0.0202526,0.0132087,0.020892,0,0,0.0299066,0,0.0333574,0.0189333,0.0413754,0.00793322,0.0105434,0.00485094,0.0376181,0.0593331,0.00995303,0.0121723,0.00905197,0.00673539,0.0127375,0.00620239,0.0247641,0.0340199,0.0372317,0.0100322,0.00717385,0.0129949,0.0320631,0.0137684,0.0227596,0.024379,0,0,0.0349205,0,0.0320668,0.0192055,0.0366387,0.01759,0.0182815,0.0191417,0.0359938,0.0390153,0.0100035,0.0170374,0.0109194,0.013235,0.0121597,0.032842,0.00786609,0.011085,0.00934781,0.0269605,0.0337644,0.00374939,0.0294304,0.0168476,0,0,0,0,0,0,0,0
27,0.0279913,0,0,0,0,0.0344195,0,0,0,0,0,0,0.0240777,0.020279,0.0129478,0.0209851,0,0,0.0299935,0,0.0333515,0.0189538,0.0414608,0.00790771,0.0105964,0.00446017,0.0374941,0.0595387,0.00966868,0.0114974,0.00878065,0.00662304,0.0123908,0.00630339,0.0248496,0.0332693,0.0373949,0.00997376,0.00717131,0.0128584,0.032121,0.0136777,0.0228558,0.0245115,0,0,0.034905,0,0.0320378,0.0192421,0.0366344,0.0174987,0.0182856,0.019096,0.0358983,0.0395614,0.0100377,0.0169278,0.0110545,0.0132531,0.0120644,0.0326538,0.00781936,0.0109817,0.00924284,0.0271522,0.0335987,0.00371235,0.0293773,0.0171584,0,0,0,0,0,0,0,0
28,0.0283728,0,0,0,0,0.0343522,0,0,0,0,0,0,0.0233384,0.0203309,0.0126775,0.0210377,0,0,0.0300557,0,0.0334086,0.0189283,0.0415014,0.00788232,0.010625,0.00416372,0.0373601,0.0597954,0.0093791,0.0107964,0.00854325,0.00657085,0.0120503,0.00640858,0.0249218,0.0323849,0.03752,0.00994154,0.00716639,0.0128047,0.0321715,0.0136165,0.0228835,0.0246685,0,0,0.0348428,0,0.0320126,0.0192843,0.0366199,0.0174892,0.0182715,0.0190696,0.0358242,0.0401268,0.0100174,0.0169338,0.0110671,0.0132658,0.0119924,0.0326239,0.00777712,0.0109195,0.00920831,0.0273518,0.0334369,0.00369119,0.0292777,0.0174799,0,0,0,0,0,0,0,0
29,0.0288205,0,0,0,0,0.0342817,0,0,0,0,0,0,0.022655,0.0203972,0.0123968,0.0210981,0,0,0.0300361,0,0.0334743,0.0188611,0.0415302,0.00787173,0.0106891,0.0040125,0.0372507,0.0600252,0.00910104,0.0102943,0.00833555,0.00655343,0.0117197,0.00653441,0.0249954,0.0315736,0.0376559,0.00994309,0.00712442,0.0128232,0.0322373,0.0136305,0.0229001,0.02489,0,0,0.0347681,0,0.0319824,0.0193301,0.0365943,0.0175027,0.0182548,0.0190857,0.0357658,0.0408067,0.00997312,0.0170195,0.0110137,0.013292,0.012001,0.0326377,0.00777192,0.0109158,0.00920871,0.0276021,0.033257,0.00370937,0.0291306,0.0178784,0,0,0,0,0,0,0,0
30,0.0293503,0,0,0,0,0.0342314,0,0,0,0,0,0,0.0219216,0.0204442,0.0121265,0.0212051,0,0,0.0300291,0,0.0335244,0.0188179,0.0415525,0.00790344,0.0107658,0.00402149,0.0371644,0.0602226,0.00885544,0.00972482,0.00820041,0.00657772,0.0113996,0.00666112,0.0250637,0.0307655,0.0377715,0.00997182,0.00708568,0.0128063,0.0323082,0.0136084,0.0229508,0.0252155,0,0,0.0347067,0,0.0319409,0.0193634,0.0365673,0.0174205,0.0182664,0.0191073,0.035724,0.0415758,0.00996357,0.0170138,0.0110386,0.0133264,0.0119821,0.0325986,0.0077563,0.0108496,0.00920725,0.0279012,0.0330185,0.00375638,0.0289827,0.0183656,0,0,0,0,0,0,0,0
31,0.0299125,0,0,0,0,0.0341765,0,0,0,0,0,0,0.0212556,0.0204208,0.0119015,0.0213176,0,0,0.0299894,0,0.0335478,0.0187446,0.0415786,0.00794946,0.0108734,0.00413306,0.0371053,0.06043,0.00868124,0.00914855,0.00811437,0.00663417,0.0111394,0.00676147,0.0251386,0.0300389,0.037819,0.0100162,0.00703337,0.0128191,0.0323705,0.0136107,0.0229818,0.0255997,0,0,0.0346491,0,0.0318882,0.019364,0.0365849,0.0173411,0.0182967,0.0191501,0.0357216,0.0424287,0.00993928,0.0171255,0.0110401,0.0133251,0.0119964,0.0325617,0.00773301,0.0108514,0.00921199,0.0282225,0.0327438,0.00380723,0.0288473,0.0188987,0,0,0,0,0,0,0,0
32,0.030481,0,0,0,0,0.0340392,0,0,0,0,0,0,0.0207079,0.0203837,0.0117568,0.0213339,0,0,0.030103,0,0.0335167,0.0187748,0.0415626,0.0080513,0.0108347,0.00430586,0.0369943,0.0606813,0.00855687,0.00888382,0.0080335,0.00676727,0.0109828,0.00690321,0.0252445,0.0294127,0.0379438,0.00994917,0.00699107,0.0128973,0.0324108,0.0136743,0.0228693,0.0260205,0,0,0.0345274,0,0.0318355,0.0193012,0.0366159,0.017449,0.0183264,0.0191918,0.0356392,0.043339,0.00988627,0.0171921,0.0110437,0.0133141,0.0120339,0.0325553,0.00780391,0.0108993,0.00925014,0.028535,0.0324012,0.00385223,0.0286366,0.0194451,0,0,0,0,0,0,0,0
33,0.0310919,0,0,0,0,0.0339066,0,0,0,0,0,0,0.0201373,0.0203731,0.0116021,0.021293,0,0,0.0302853,0,0.0335174,0.0188413,0.0415794,0.00810478,0.0108459,0.00454335,0.0368313,0.0609476,0.00836983,0.008553,0.00797545,0.00691993,0.0108298,0.00703541,0.0253435,0.0288227,0.0381737,0.00994785,0.00685222,0.0129269,0.0324622,0.0137537,0.0226779,0.0265337,0,0,0.0343589,0,0.0318022,0.0192053,0.036635,0.0175748,0.0185307,0.0192221,0.035554,0.0442711,0.00989116,0.0172008,0.0110093,0.013291,0.0120955,0.0325855,0.00788506,0.0109686,0.0093173,0.0288295,0.0319685,0.00390626,0.0284143,0.0200649,0,0,0,0,0,0,0,0
34,0.0317678,0,0,0,0,0.033799,0,0,0,0,0,0,0.0196592,0.0203373,0.0114545,0.0212636,0,0,0.0305438,0,0.033563,0.0189479,0.0416435,0.00817705,0.0108823,0.00482051,0.036649,0.0612345,0.00819517,0.00814005,0.00794456,0.00707301,0.0106751,0.0071172,0.0254301,0.0283732,0.0384302,0.0100374,0.00667475,0.0129563,0.0324948,0.013818,0.0225632,0.0271533,0,0,0.0341811,0,0.0317634,0.0190745,0.0366095,0.0176528,0.0187091,0.0192506,0.035431,0.0452121,0.0100168,0.0171978,0.0109725,0.013312,0.0121608,0.0326026,0.00793734,0.011025,0.00935385,0.0291675,0.0314771,0.00397014,0.0281899,0.0207503,0,0,0,0,0,0,0,0
